26240,28355,27574,29509,27011,29746,27911,29950,26229,28695,30346,26190
26242,28355,27573,29513,27009,29747,27909,29953,26232,28694,30344,26194
26244,28353,27572,29509,27010,29747,27909,29949,26230,28695,30343,26192
26242,28353,27574,29513,27011,29746,27906,29949,26229,28695,30342,26192
26240,28353,27574,29514,27008,29747,27907,29947,26230,28694,30345,26192
26243,28355,27576,29509,27011,29749,27911,29948,26231,28696,30345,26191
26243,28353,27573,29513,27011,29747,27910,29950,26231,28696,30344,26192
26240,28355,27573,29509,27011,29747,27910,29949,26230,28693,30344,26191
26240,28353,27576,29510,27010,29749,27911,29950,26230,28694,30345,26189
26242,28353,27574,29510,27010,29747,27909,29952,26230,28692,30343,26192
26240,28355,27577,29510,27012,29748,27915,29951,26230,28693,30342,26191
26242,28353,27574,29513,27009,29747,27910,29951,26229,28694,30344,26192
26241,28354,27574,29511,27011,29746,27906,29950,26232,28692,30344,26194
26240,28353,27574,29510,27011,29748,27907,29947,26229,28694,30345,26189
26241,28351,27575,29512,27011,29745,27910,29948,26232,28697,30345,26190
26242,28357,27576,29513,27010,29750,27909,29950,26233,28696,30342,26192
26241,28354,27574,29513,27007,29749,27908,29950,26233,28696,30345,26192
26242,28354,27574,29512,27011,29748,27907,29954,26232,28695,30345,26191
26244,28356,27573,29513,27009,29746,27909,29950,26230,28696,30345,26191
26243,28353,27572,29513,27011,29747,27911,29951,26230,28695,30345,26191
26238,28357,27574,29512,27011,29749,27908,29951,26232,28695,30344,26190
26241,28355,27573,29508,27011,29746,27909,29949,26230,28695,30343,26194
26241,28354,27572,29514,27008,29746,27906,29951,26232,28694,30344,26194
26240,28352,27576,29509,27009,29746,27909,29948,26230,28696,30344,26193
26241,28352,27576,29510,27010,29747,27911,29949,26232,28696,30345,26194
26241,28354,27574,29511,27010,29746,27909,29947,26230,28696,30343,26193
26243,28353,27572,29510,27012,29746,27909,29948,26230,28696,30344,26191
26239,28353,27574,29509,27009,29750,27907,29950,26229,28696,30345,26194
26244,28354,27573,29509,27011,29746,27906,29950,26229,28695,30344,26192
26240,28353,27572,29509,27010,29745,27907,29951,26230,28693,30343,26194
26241,28355,27572,29512,27011,29747,27909,29949,26230,28695,30343,26194
26242,28355,27574,29507,27011,29745,27911,29949,26232,28696,30344,26193
26242,28355,27571,29511,27011,29744,27908,29948,26230,28696,30345,26194
26241,28352,27572,29509,27013,29746,27907,29949,26231,28693,30344,26194
26243,28354,27573,29508,27011,29745,27907,29947,26230,28695,30345,26192
26246,28353,27575,29509,27011,29746,27908,29951,26229,28693,30345,26192
26240,28355,27573,29512,27009,29748,27907,29951,26228,28697,30343,26192
26241,28353,27576,29509,27011,29747,27907,29949,26233,28695,30344,26194
26241,28353,27574,29509,27013,29746,27909,29949,26230,28695,30345,26192
26241,28354,27574,29511,27011,29748,27907,29949,26232,28696,30344,26192
26241,28353,27572,29509,27011,29742,27907,29948,26233,28695,30342,26192
26241,28353,27570,29515,27010,29743,27910,29948,26231,28693,30344,26193
26241,28353,27576,29512,27011,29745,27910,29949,26234,28698,30344,26190
26240,28355,27574,29511,27008,29745,27908,29949,26231,28695,30343,26194
26242,28353,27572,29509,27011,29745,27905,29949,26233,28696,30344,26191
26243,28351,27572,29509,27011,29748,27909,29949,26229,28698,30343,26192
26241,28353,27574,29511,27010,29745,27907,29948,26230,28697,30344,26194
26246,28354,27574,29513,27012,29744,27910,29952,26230,28696,30343,26194
26244,28352,27574,29513,27012,29744,27908,29947,26231,28695,30344,26193
26240,28355,27574,29513,27009,29746,27910,29951,26232,28696,30344,26196
26242,28355,27574,29509,27009,29744,27909,29947,26231,28694,30345,26194
26242,28356,27574,29508,27010,29744,27907,29947,26231,28696,30345,26190
26244,28353,27575,29511,27009,29742,27907,29949,26232,28696,30341,26194
26240,28357,27574,29509,27011,29745,27909,29948,26231,28693,30345,26193
26242,28356,27574,29508,27013,29748,27908,29946,26229,28696,30345,26194
26242,28355,27572,29509,27010,29748,27909,29949,26230,28696,30342,26192
26242,28354,27575,29511,27011,29746,27906,29949,26230,28695,30346,26193
26244,28356,27575,29509,27013,29746,27908,29952,26230,28694,30345,26193
26240,28357,27576,29512,27013,29744,27910,29951,26232,28694,30345,26192
26240,28353,27576,29512,27011,29745,27909,29949,26230,28697,30343,26195
26241,28355,27570,29511,27012,29746,27908,29950,26227,28696,30345,26192
26242,28352,27572,29513,27011,29745,27907,29947,26232,28696,30345,26194
26243,28359,27572,29511,27014,29745,27910,29946,26233,28694,30344,26192
26240,28355,27574,29509,27011,29746,27911,29951,26231,28697,30343,26194
26241,28353,27572,29513,27009,29748,27909,29952,26232,28696,30346,26191
26243,28355,27574,29509,27012,29746,27907,29950,26232,28695,30344,26192
26247,28357,27575,29509,27012,29745,27907,29951,26232,28696,30345,26191
26244,28355,27576,29511,27011,29746,27909,29949,26231,28696,30345,26194
26244,28353,27573,29513,27011,29746,27914,29949,26234,28696,30342,26194
26244,28357,27574,29515,27010,29747,27910,29948,26232,28697,30344,26196
26242,28355,27574,29515,27009,29746,27909,29952,26232,28698,30344,26193
26245,28357,27574,29514,27013,29747,27910,29951,26232,28697,30345,26192
26244,28354,27574,29510,27012,29748,27911,29951,26229,28698,30343,26194
26242,28353,27579,29513,27011,29746,27914,29949,26233,28696,30345,26193
26242,28355,27572,29510,27011,29745,27915,29950,26234,28696,30345,26192
26242,28355,27576,29513,27013,29744,27910,29949,26232,28696,30345,26192
26243,28353,27574,29512,27013,29746,27911,29950,26231,28695,30343,26194
26245,28356,27574,29509,27014,29747,27911,29950,26233,28697,30344,26193
26243,28355,27574,29512,27015,29747,27910,29950,26233,28695,30344,26196
26245,28354,27572,29513,27010,29748,27913,29951,26232,28696,30345,26194
26245,28354,27574,29509,27011,29747,27911,29949,26232,28697,30344,26194
26246,28357,27576,29511,27013,29746,27911,29949,26233,28696,30343,26190
26245,28354,27572,29514,27012,29746,27909,29947,26232,28697,30345,26194
26244,28355,27575,29508,27013,29745,27915,29950,26235,28694,30344,26196
26242,28353,27574,29511,27014,29744,27914,29950,26234,28697,30345,26193
26244,28357,27573,29510,27013,29748,27910,29951,26232,28694,30344,26193
26244,28355,27573,29508,27011,29743,27913,29949,26230,28696,30344,26192
26246,28357,27574,29512,27013,29746,27913,29951,26235,28696,30345,26194
26240,28357,27577,29513,27017,29746,27909,29951,26233,28698,30344,26194
26241,28358,27576,29512,27015,29745,27911,29951,26234,28696,30345,26193
26240,28355,27576,29509,27014,29743,27911,29949,26234,28697,30345,26191
26246,28354,27575,29506,27013,29748,27909,29952,26232,28696,30344,26190
26244,28355,27573,29509,27015,29745,27914,29949,26232,28695,30345,26192
26248,28357,27578,29511,27014,29745,27910,29949,26230,28699,30343,26194
26245,28355,27578,29511,27013,29744,27908,29951,26233,28696,30345,26192
26244,28355,27574,29512,27014,29747,27913,29947,26233,28696,30345,26192
26247,28356,27576,29509,27011,29745,27914,29951,26232,28700,30345,26192
26242,28353,27577,29513,27013,29746,27907,29951,26230,28696,30345,26193
26247,28355,27574,29513,27012,29745,27909,29952,26229,28697,30345,26194
26243,28355,27576,29513,27011,29746,27913,29950,26234,28698,30345,26193
26246,28353,27576,29510,27014,29746,27908,29950,26233,28696,30345,26191
26246,28353,27574,29513,27011,29746,27915,29949,26233,28698,30343,26192
26246,28356,27577,29513,27012,29747,27914,29950,26233,28696,30345,26194
26245,28355,27574,29513,27012,29747,27915,29949,26233,28696,30346,26190
26244,28356,27578,29511,27013,29746,27911,29951,26232,28697,30345,26192
26248,28358,27576,29510,27012,29745,27914,29952,26233,28698,30345,26190
26244,28355,27572,29513,27012,29748,27911,29951,26232,28697,30344,26194
26247,28354,27575,29513,27013,29745,27910,29951,26229,28697,30347,26190
26243,28355,27576,29511,27014,29746,27911,29951,26233,28695,30346,26194
